No.,Entidad Federativa,Razón Social,Tipo de Instalación,Folio del Certificado de Cumplimiento,Vigencia,Ubicación
1,Chiapas,"A.C. LA LAJA, S.A. DE C.V.",Centro de acopio,UBC01 07109076/2016,06/05/2022,"Boulevard Elmar Setzer Marselle S/N, esq. Calle del Azufre, Barrio Belém, Yajalón, Chiapas."
2,Puebla,"AGROINDUSTRIAS DIAMANSOL, S.A. DE C.V.",Industrializadora,UBC01 21174147/2017,30/11/2022,"Callejón La Escondida No. 4, Col. Aire Libre, Teziutlán, Puebla, C.P. 73960"
3,Veracruz,"AGROINDUSTRIAS UNIDAS DE MÉXICO, S.A. DE C.V.",Beneficio Seco,UBC01 30044146/2017,03/12/2022,"Prol. De Av. 3 No. 4303, Col. San Cayetano, C.P. 94690, Córdova, Ver."
4,Veracruz,"AGROINDUSTRIAS UNIDAS DE MÉXICO, S.A. DE C.V.",Beneficio Seco,UBC01 30065009/2020,17/02/2023,"Carr. Xalapa - Veracruz Km. 12.5, Loc. Dos Ríos, C.P. 91640, Emiliano Zapata, Veracruz."
5,Chiapas,"BENEFICIO BAJEREQUE NORTE, S.A. DE C.V.",Beneficio seco,UBC01 07089011/2021,30/07/2022,"Calle Cedros Bodega No. 32, Fracc. Industrial Los Mangos, C.P. 30798, Tapachula, Chiapas."
6,Chiapas,"CAFÉ SAN ENRIQUE, S.A. DE C.V.",Centro de acopio,UBC01 07034001/2020,13/04/2022,"Calle 4a Norte esquina con 2da. Poniente S/N, Barrio Guadalupe, C.P. 30140, Frontera Comalapa, Chiapas."
7,Chiapas,"CAFÉS DE ALTURA DE COMALAPA, S.A. DE C.V.",Centro de acopio,UBC01 07034009/2021,21/06/2022,"Carretera Comalapa-Motozintla km. 1, Barrio Sahop, Frontera Comalapa, Chiapas."
8,Veracruz,"CAFÉS ESPECIALES BAMBA, S. DE R.L. DE C.V.",Industrializadora,UBC01 30038004/2021,14/04/2022,"Camino a las Lomas No. 1000, Pacho Viejo, C.P. 91602, Coatepec, Veracruz."
9,Chiapas,"CAFETALERA ZETA, S.A. DE C.V.",Centro de acopio,UBC01 07006016/2021,30/11/2022,"Comitán S/N, Col. El Potrerillo, Amatenango de la Frontera, Chiapas."
10,Chiapas,"CAFETALERA ZETA, S.A. DE C.V.",Beneficio Seco,UBC01 30044132/2017,30/11/2022,"Km. 291, Autopista Córdoba - Orizaba, Junto a Infonavit El Trebol, Códoba, Veracruz, C.P. 94542"
11,Chiapas,"CAFETALEROS DE AMATENANGO, S. DE P.R. DE R.I.",Centro de acopio,UBC01 07006007/2019,06/05/2022,"Calle Catazajá, Loc. El Potrerillo, C.P. 30941, Amatenango de la Frontera, Chiapas."
12,Chiapas,"CAFETALEROS UNIDOS DEL POTRERILLO CHIAPAS, S. DE P.R. DE R.I.",Centro de acopio,UBC01 07006008/2019,06/05/2022,"Calle Sin Nombre y S/N. El Potrerillo, C.P. 30940, Amatenango de La Frontera, Chiapas."
13,Chiapas,"COMERCIALIZADORA DE CAFÉ Y GRANOS SANTA MARíA, S. DE P.R. DE R.L.",Centro de acopio,UBC01 07034015/2019,21/06/2022,"Entronque El Jocote- El Sabinalito, C.P. 30140, Frontera Comalapa, Chiapas."
14,Chiapas,"COMERCIALIZADORA DE GRANOS Y CAFÉ LOS GUADALUPANOS, S.A. DE C.V.",Centro de acopio,UBC01 07034008/2021,21/06/2022,"Entronque El Tejocote-El Sabinalito, C.P. 30153, Frontera Comalapa, Chipas."
15,Chiapas,"COMERCIALIZADORA E INDUSTRIALIZADORA DE PRODUCTOS CHIAPANECOS, S.A.",Beneficio húmedo,UBC01 07015018/2019,21/06/2022,"Domicilio Conocido S/N. Finca Alianza, Cacahuatán, Chiapas."
16,Chiapas,"COMERCIALIZADORA FINCAF, S.A. DE C.V.",Centro de acopio,UBC01 07109004/2020,06/05/2022,"Carretera Yahalón-Chilón km. 1, Barrio Belém, C.P. 66254, Yajalón, Chiapas."
17,Chiapas,"COMERCIALIZADORA FINCAF, S.A. DE C.V.",Centro de acopio,UBC01 07031005/2020,06/05/2022,"Carretera Chilón-Ocosingo Km. 0.5, Barrio San Antonio, Chilón, Chiapas."
18,Chiapas,"COMERCIALIZADORA FINCAF, S.A. DE C.V.",Beneficio húmedo y seco,UBC01 07109005/2021,06/05/2022,"Carretera Chilón-El Carmen, Tzajala S/N, Chilón, Chiapas."
19,Puebla,"COOPERATIVA MASEUAL XICAUALIS, S.C.L.",Beneficio húmedo y seco,UBC01 21043128/2017,10/03/2023,"Km. 2, Carr. Cuetzalan - San Antonio Rayón No. 25, Cuetzalan del Progreso, Puebla, C.P. 73570."
20,Puebla,"COOPERATIVA MASEUAL XICAUALIS, S.C.L.",Industrializadora,UBC01 21043129/2017,10/03/2023,"Km. 2, Carr. Cuetzalan - San Antonio Rayón No. 25, Cuetzalan del Progreso, Puebla, C.P. 73570."
21,Veracruz,EDUARDO ASSAD AZUARA,Industrializadora,UBC01 30038003/2021,13/04/2022,"Camino a las Lomas No. 1000, Pacho Viejo, C.P. 91602, Coatepec, Veracruz."
22,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07114153/2018,14/04/2022,"Carretera Quetzalcóatl Km. 11, 2da. Sección, Ejido Nueva Reforma, Benemerito de las Américas, Chiapas."
23,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07091103/2017,14/04/2022,"Dom. Conocido S/N, Barrio Guadalupe, Tapilula, Chiapas."
24,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07101073/2016,14/04/2022,"Boulevard Bosques de la Trinidad No. 330 Bodega 2, Col. Plan de Ayala, Tuxtla Gutiérrez, Chiapas."
25,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07093107/2017,14/04/2022,"Domicilio Conocido, S/N, Poblado La Curva, Tenejapa, Chiapas."
26,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07107067/2015,14/04/2022,"Calle Central Sur salida a Monterrey, Barrio California, Villa Corzo, Chiapas."
27,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07013105/2017,14/04/2022,"Calle 3a. Oriente Sur No. 180, Barrio Orizaba, Bochil, Chiapas."
28,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07078106/2017,14/04/2022,"Calle San Juan de Dios S/N, Col. Cuixtitali, San Cristóbal de Las Casas, Chiapas."
29,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07066072/2016,14/04/2022,"Av. Benito Juárez S/N, Col. Centro, Pantelhó, Chiapas."
30,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07109119/2017,14/04/2022,"Libramiento Norte-Poniente No. 10, Yajalón, Chiapas."
31,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07101004/2019,14/04/2022,"Carretera Panamericana No. 1077, Col. Plan de Ayala, C.P. 29020, Tuxtla Gutiérrez, Chiapas."
32,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07008069/2015,14/04/2022,"Carretera Ángel Albino Corzo-San Francisco Km. 0,700, Ángel Albino Corzo, Chiapas."
33,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07041003/2020,14/04/2022,"Carretera Francisco I. Madero-Río Blanco km. 10, Loc. Playa Azul, Independencia, Chiapas."
34,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07034068/2015,14/04/2022,"Barrio El Anonal Km. 1 Carretera Comalapa-Ciudad Cuauhtémoc, Frontera Comalapa, Chiapas."
35,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Beneficio seco,UBC01 07040154/2018,14/04/2022,"Av. Zaragoza Poniente y Galeana S/N, Col. Centro, C.P. 30640, Huixtla, Chiapas."
36,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Beneficio seco,UBC01 07089120/2017,14/04/2022,"Camino Puente Seco S/N, frente a los almacenes de CFE, Col. Primero de Mayo, Tapachula, Chiapas."
37,Chiapas,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Centro de acopio,UBC01 07030071/2016,14/04/2022,"Tercera Av. Sur No. 159, Chicomuselo, Chiapas."
38,Veracruz,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Beneficio seco,UBC01 30193127/2017,24/02/2023,"Av. Framboyanes Lt.21 Mz. VI, Fracción A y B, Cd. Ind. Bruno Pagliai, Tejeria, C.P. 91697, Veracruz, Veracruz."
39,Veracruz,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V.",Industrializadora,UBC01 30193151/2017,24/02/2023,"Av. Framboyanes Lt.21 Mz. VI, Fracción A y B, Cd. Ind. Bruno Pagliai, Tejeria, C.P. 91697, Veracruz, Veracruz."
40,Veracruz,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V. (Bodega 2)",Centro de acopio,UBC01 30193049/2015,24/02/2023,"Av. Framboyanes Lt.21 Mz. VI, Fracción A y B, Cd. Ind. Bruno Pagliai, Tejeria, C.P. 91697, Veracruz, Veracruz."
41,Veracruz,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V. (Bodega 7)",Centro de acopio,UBC01 30193001/2021,24/02/2023,"Av. Framboyanes Lt.21 Mz. VI, Fracción A y B, Cd. Ind. Bruno Pagliai, Tejeria, C.P. 91697, Veracruz, Veracruz."
42,Veracruz,"EXPORTADORA DE CAFÉ CALIFORNIA, S.A. DE C.V. (Buenos días)",Industrializadora,UBC01 30193163/2018,24/02/2023,"Av. Framboyanes Lt.21 Mz. VI, Fracción A y B, Cd. Ind. Bruno Pagliai, Tejeria, C.P. 91697, Veracruz, Veracruz."
43,Veracruz,"GRUPO CAFETALERO APG DE COATEPEC, S.A. DE C.V.",Beneficio húmedo,UBC01 30038150/2017,29/09/2022,"Calle Zaragoza No. 121 Int. 5, Col. Centro, C.P. 91528, Coatepec, Veracruz."
44,Chiapas,"GRUPO CAFETALERO SAN FRANCISCO, S.A. DE C.V.",Centro de acopio,UBC01 07034135/2017,30/07/2022,"Domicilio Conocido S/N, Loc. El Tejocote, Frontera Comalapa, Chiapas."
45,Veracruz,"GRUPO CAFETALERO SAN FRANCISCO, S.A. DE C.V.",Beneficio seco,UBC01 30038124/2017,30/06/2022,"Carretera Coatepec-Las Trancas, entronque a Tuzamapan, Coatepec, Veracruz."
46,Veracruz,"GRUPO CAFETALERO SAN FRANCISCO, S.A. DE C.V.",Beneficio húmedo,UBC01 30038125/2017,30/06/2022,"Valerio Trujano No. 22, Col. Puente del Obrador, C.P. 91528, Coatepec, Veracruz."
47,Sinaloa,"INDUSTRIAS MARINO, S.A. DE C.V.",Centro de acopio,UBC01 25012091/2016,24/11/2022,"Carretera Internacional al Sur No. 7075, Col. Rincón de Urías, Urías Mazatlán, Sinaloa."
48,Sinaloa,"INDUSTRIAS MARINO, S.A. DE C.V.",Industrializadora,UBC01 25012090/2016,24/11/2022,"Carretera Internacional km. 1193.5 al Sur, Col. Anáhuac, C.P. 82188, Mazatlán, Sinaloa."
49,Chiapas,JOSÉ FERNANDO ALCALA VÁZQUEZ,Centro de Acopio,UBC01 07034006/2021,06/05/2022,"Domicilio Conocido S/N, Loc. El Jocote, C.P. 30940, Frontera Comalapa, Chiapas."
50,Chiapas,JULIO CESAR ESPINDOLA BRIONES,Beneficio seco,UBC01 07034010/2021,30/07/2022,"Carretera Comalapa-Chicomuselo km. 1.5; S/N, Barrio Loma Bonita, C.P. 30140, Frontera Comalapa, Chiapas."
51,Veracruz,"KCM EXPORT, S.A. DE C.V.",Beneficio húmedo y seco,UBC01 30188003/2019,01/09/2022,"Carretera Feceral Huatusco-Conejos Km. 0.5, Loc. Dos Puentes, Totutla, Veracruz."
52,Chiapas,"LOUIS DREYFUS COMPANY MÉXICO, S.A. DE C.V.",Centro de acopio,UBC01 07012012/2021,01/09/2022,"Carreterea Tuxtla Gutiérrez-Ocozocuautla km. 141, Berriozabál, Chiapas."
53,Chiapas,"LOUIS DREYFUS COMPANY MÉXICO, S.A. DE C.V.",Centro de acopio,UBC01 07012015/2021,01/09/2022,"Carretera Tapachula a Nueva Alemania km. 7, entre bodega de Cascabillo y subestación CFE, Tapachula, Chiapas."
54,Veracruz,"LOUIS DREYFUS COMPANY MÉXICO, S.A. DE C.V.",Beneficio seco,UBC01 30128019/2019,01/09/2022,"Carretera Federal 140 Veracruz-México km.90+500, San Antonio el Limon Totalco, C.P. 91298, Perote, Veracruz."
55,Veracruz,"LOUIS DREYFUS COMPANY MÉXICO, S.A. DE C.V.",Centro de acopio,UBC01 30128013/2021,01/09/2022,"Carretera Federal Perote-Altotonga km. 18; Col. Héroes de Nacozari, Perote, Veracruz. (bodegas de calera)."
56,Chiapas,MARIO ENRIQUE GORDILLO CALLEJA,Centro de acopio,UBC01 07034134/2017,16/07/2022,"Segunda Av. Norte Poniente No. 440, Barrio Guadalupe, C.P. 30140, Frontera Comalapa, Chiapas."
57,Chiapas,OFNI GALICIA DE LEÓN,Centro de Acopio,UBC01 07006007/2021,06/05/2022,"Av. Luis Donaldo Colosio Int. No. 2, Loc. El Potrerillo, C.P. 30940, Amatenango de la Frontera, Chiapas."
58,Chiapas,"OLAM AGRO MÉXICO, S.A. DE C.V.",Beneficio seco,UBC01 07101096/2016,06/05/2022,"Libramiento Sur-Oriente No. 2225 esquina Carretera a Suchiapa, C.P. 29000, Tuxtla Gutiérrez, Chiapas."
59,Chiapas,"OLAM AGRO MÉXICO, S.A. DE C.V.",Centro de acopio,UBC01 07109115/2017,06/05/2022,"Libramiento Norte-Poniente Lote 88, Fracc. Flamboyanes, Yajalón, Chiapas."
60,Chiapas,"OLAM AGRO MÉXICO, S.A. DE C.V.",Centro de acopio,UBC01 07040114/2017,21/06/2022,"Lerdo de Tejada S/N, esquina Abasolo, Huixtla, Chiapas."
61,Chiapas,"OPERADORA AGLECO DE CHIAPAS, S.A. DE C.V.",Centro de acopio,UBC01 07101010/2019,01/09/2022,"Calzada Emiliano Zapata No. 940-A, Col. Terán, C.P.29050, Tuxtla Gutiérrez, Chiapas."
62,Chiapas,"RUTA DE GRANOS DORADOS, S.P.R. DE R.I.",Centro de acopio,UBC01 07006165/2018,06/05/2022,"Calle Comitán S/N, Col. El Potrerillo, Amatenango de la Frontera, Chiapas."
63,Chiapas,SANTIAGO FERNANDO PRADO MONTES,Centro de Acopio,UBC01 07034085/2016,06/05/2022,"Domicilio Conocido S/N, Carretera Cuauhtémoc - Frontera Comalapa, Loc. Paso Hondo, Frontera Comalapa, Chiapas."
64,Chiapas,"UNIÓN DE CAFETALEROS CHIAPANECOS, S.P.R. DE R.L.",Centro de acopio,UBC01 07034112/2017,06/05/2022,"Primera Av. Poniente Sur No. 86, Barrio Cuernavaca, C.P. 30140, Frontera Comalapa, Chiapas."
65,Chiapas,"UNIÓN DE PRODUCTORES DE CAFÉ DE LA FRONTERA SUR, S.C.",Beneficio Seco,UBC01 07019132/2017,30/11/2022,"Km. 1261.5, Carr. Panamericana S/N, Col. Mariano N. Ruiz, Comitán, Chiapas, C.P. 30077."